Dataset,Dimension,Annotator Pair,Weighted Cohen's Kappa,Kappa P-value
Lend an Ear,demonstrating_understanding,"('experts', 'crowd')",0.14,0.024
Lend an Ear,dismissing_emotions,"('experts', 'crowd')",0.12,0.194
Empathetic Dialogues,empathy,"('experts', 'crowd')",0.15,0.048
Lend an Ear,encouraging_elaboration,"('experts', 'crowd')",0.43,0.000
Empathetic Dialogues,fluency,"('experts', 'crowd')",0.35,0.048
EPITOME,level_emotional_reactions,"('experts', 'crowd')",0.70,0.000
EPITOME,level_explorations,"('experts', 'crowd')",0.51,0.000
EPITOME,level_interpretations,"('experts', 'crowd')",0.37,0.001
Perceived Empathy,m_accepted,"('experts', 'crowd')",0.18,0.002
Perceived Empathy,m_affirmed,"('experts', 'crowd')",0.18,0.013
Perceived Empathy,m_caredfor,"('experts', 'crowd')",0.14,0.044
Perceived Empathy,m_emotional,"('experts', 'crowd')",0.33,0.000
Perceived Empathy,m_motivation,"('experts', 'crowd')",0.34,0.004
Perceived Empathy,m_practical,"('experts', 'crowd')",0.34,0.000
Perceived Empathy,m_seen,"('experts', 'crowd')",0.14,0.062
Perceived Empathy,m_understood,"('experts', 'crowd')",0.20,0.017
Perceived Empathy,m_validated,"('experts', 'crowd')",0.19,0.011
Empathetic Dialogues,relevance,"('experts', 'crowd')",0.56,0.000
Lend an Ear,self_oriented,"('experts', 'crowd')",0.37,0.000
Lend an Ear,validating_emotions,"('experts', 'crowd')",0.32,0.001
Lend an Ear,advice_giving,"('experts', 'llm')",0.66,0.000
Lend an Ear,demonstrating_understanding,"('experts', 'llm')",0.59,0.000
Lend an Ear,dismissing_emotions,"('experts', 'llm')",0.17,0.007
Empathetic Dialogues,empathy,"('experts', 'llm')",0.34,0.000
Lend an Ear,encouraging_elaboration,"('experts', 'llm')",0.86,0.000
Empathetic Dialogues,fluency,"('experts', 'llm')",0.27,0.062
EPITOME,level_emotional_reactions,"('experts', 'llm')",0.64,0.000
EPITOME,level_explorations,"('experts', 'llm')",0.76,0.000
EPITOME,level_interpretations,"('experts', 'llm')",0.59,0.000
Perceived Empathy,m_accepted,"('experts', 'llm')",0.45,0.000
Perceived Empathy,m_affirmed,"('experts', 'llm')",0.63,0.000
Perceived Empathy,m_caredfor,"('experts', 'llm')",0.60,0.000
Perceived Empathy,m_emotional,"('experts', 'llm')",0.75,0.000
Perceived Empathy,m_motivation,"('experts', 'llm')",0.70,0.000
Perceived Empathy,m_practical,"('experts', 'llm')",0.74,0.000
Perceived Empathy,m_seen,"('experts', 'llm')",0.60,0.000
Perceived Empathy,m_understood,"('experts', 'llm')",0.53,0.000
Perceived Empathy,m_validated,"('experts', 'llm')",0.60,0.000
Empathetic Dialogues,relevance,"('experts', 'llm')",0.23,0.168
Lend an Ear,self_oriented,"('experts', 'llm')",0.69,0.000
Lend an Ear,validating_emotions,"('experts', 'llm')",0.63,0.000
Lend an Ear,advice_giving,"('llm', 'crowd')",0.46,0.000
Lend an Ear,demonstrating_understanding,"('llm', 'crowd')",0.16,0.002
Lend an Ear,dismissing_emotions,"('llm', 'crowd')",0.10,0.383
Empathetic Dialogues,empathy,"('llm', 'crowd')",0.00,0.866
Lend an Ear,encouraging_elaboration,"('llm', 'crowd')",0.40,0.000
Empathetic Dialogues,fluency,"('llm', 'crowd')",0.30,0.085
EPITOME,level_emotional_reactions,"('llm', 'crowd')",0.63,0.000
EPITOME,level_explorations,"('llm', 'crowd')",0.31,0.004
EPITOME,level_interpretations,"('llm', 'crowd')",0.31,0.007
Perceived Empathy,m_accepted,"('llm', 'crowd')",0.09,0.167
Perceived Empathy,m_affirmed,"('llm', 'crowd')",0.12,0.088
Perceived Empathy,m_caredfor,"('llm', 'crowd')",0.10,0.196
Perceived Empathy,m_emotional,"('llm', 'crowd')",0.43,0.000
Perceived Empathy,m_motivation,"('llm', 'crowd')",0.32,0.002
Perceived Empathy,m_practical,"('llm', 'crowd')",0.45,0.000
Perceived Empathy,m_seen,"('llm', 'crowd')",0.09,0.131
Perceived Empathy,m_understood,"('llm', 'crowd')",0.06,0.385
Perceived Empathy,m_validated,"('llm', 'crowd')",0.12,0.106
Empathetic Dialogues,relevance,"('llm', 'crowd')",0.18,0.107
Lend an Ear,self_oriented,"('llm', 'crowd')",0.46,0.000
Lend an Ear,validating_emotions,"('llm', 'crowd')",0.42,0.000
