id,happiness_d,sadness_d,fear_d,anger_d,surprise_d,disgust_d,age_d,gender_d,edu_d,race_d,race_d_5_TEXT,employment_d,political_d,class_d,ladder_d,happiness_ai,sadness_ai,fear_ai,anger_ai,surprise_ai,disgust_ai,happiness_r,sadness_r,fear_r,anger_r,surprise_r,disgust_r,understood,validated,affirmed,seen,accepted,caredfor,accuracy1,accuracy2,knewmean_p,knewmean_b,understood_p,understood_b,close_p,connect_p,trust_p,close_b,connect_b,trust_b,lonely,connected,distressed,excited,upset,guilty,scared,enthusiastic,ashamed,nervous,happy,sad,surprised,hopeful,optimistic,ambivalent,uneasy,unnerved,creeped,uncomfortable,bothered,loneliness1,loneliness2,loneliness3,convey.thoughts,have.exp,longing.or.hoping,exp.embrssment,understand.feeling,feel.afraid,feel.hungry,exp.joy,remember,tell.right.from.wrong,exp.pain,personality,make.plans,exp.pleasure,exp.pride,exp.anger,self.restraint,think,familiar_bing,familiar_gpt,familiar_bard,often_bing,often_gpt,often_bard,atti_bing,atti_gpt,atti_bard,loneliness,responseR,labelR,empathicaccuracy.ai,empathicaccuracy.r,experience,agency,feelheard,accuracy,understoodme,connection,statelonely,excitement,hope,fear,discomfort,distress,shame
6127c5e5db9bf1a49993c300,2,4,5,5,1,5,36,Male,3,3,,9,5,1,1,1,4,5,3,2,2,2,5,7,4,3,4,3,5,5,3,4,5,3,2,2,NA,3,NA,3,3,3,NA,NA,NA,4,4,1,4,1,1,2,4,1,1,6,2,1,6,6,1,1,2,1,1,1,2,5,5,4,3,2,1,3,1,1,1,6,2,2,3,6,3,1,1,6,6,1,7,1,1,7,1,0,3,0,4,human response,human label,1.166666667,1.166666667,1.727272727,4.714285714,4.166666667,2.5,2.5,3,4,4,6,1.5,1.333333333,1.25,1
640d988c383c60ed564dd05e,4,5,6,1,2,1,41,female,5,3,,9,3,2,4,2,5,6,3,1,2,4,5,6,2,1,1,5,5,5,6,4,3,5,5,NA,3,NA,5,NA,NA,NA,4,4,5,4,4,2,2,1,1,1,3,1,1,4,1,3,5,4,1,3,1,1,5,2,5,4,5,5,5,2,2,5,2,1,2,7,5,2,4,6,2,5,3,3,7,4,4,1,4,4,1,1,2,0,4.666666667,human response,ai label,1,0.333333333,2.727272727,5.428571429,4.666666667,5,4,4.333333333,4,2.5,4.5,1,3,1.5,1
5c376ea0eecc440001c58889,1,4,4,1,1,1,44,Male,5,3,,9,5,2,4,1,7,6,4,2,3,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,2,2,2,NA,2,NA,2,2,4,NA,NA,NA,2,3,1,5,1,1,1,5,1,1,5,1,1,4,5,1,1,1,1,1,1,4,2,2,1,3,1,1,1,1,1,1,7,2,1,2,4,1,1,1,1,1,1,2,1,1,1,1,-3,-3,-3,2.666666667,ai response,human label,1.833333333,NA,1.272727273,2.428571429,3,2,2,2.666666667,2.5,5,4.5,1,1,1,1
64135e3d9cd5e3f16290d29c,1,6,5,5,6,7,25,Male,5,2,,10,3,2,3,1,6,5,4,2,3,NA,NA,NA,NA,NA,NA,7,6,7,6,6,6,7,7,7,NA,7,NA,7,7,7,NA,NA,NA,1,6,1,5,2,5,2,5,2,1,6,2,1,6,6,5,1,1,1,1,5,4,5,4,5,5,7,5,5,3,1,5,6,6,2,5,6,1,3,6,3,7,2,6,5,1,6,5,0,2,1,4.333333333,ai response,human label,1.5,NA,3.909090909,5.428571429,6.333333333,7,7,7,3.5,5,6,1.5,1,2.5,3.5
6435d9620649d3801b71cc8b,2,7,3,5,2,1,51,Male,2,4,,13,5,1,5,2,5,3,4,1,2,3,6,1,1,1,1,6,5,6,6,5,6,6,6,NA,6,NA,5,NA,NA,NA,6,6,6,6,2,6,1,2,5,5,4,2,1,4,6,1,4,5,1,2,2,1,1,1,6,4,5,2,5,2,2,5,2,2,5,6,3,5,3,6,2,3,2,5,7,4,5,2,1,3,1,-1,0,0,5,human response,ai label,0.833333333,1.5,3,4.857142857,5.666666667,6,5.5,6,4,2.5,4.5,3,1.666666667,3.75,3.5
63a92e2605e59f352e566b83,1,1,5,6,2,6,50,female,3,3,,10,2,2,4,1,3,4,5,2,4,NA,NA,NA,NA,NA,NA,7,7,7,7,4,4,7,7,NA,7,NA,7,NA,NA,NA,5,5,6,1,4,1,4,1,1,1,5,1,1,7,1,1,6,6,1,4,1,1,1,1,1,1,1,5,4,1,1,6,1,1,4,6,6,1,7,4,4,6,1,4,6,7,4,1,4,1,1,2,2,0,1,ai response,ai label,1,NA,2.818181818,5.285714286,6,7,7,5.333333333,2.5,4.5,6,1,2,1,1
5f0fd43f114b6a07e3c05d1b,3,5,4,4,4,3,47,Male,6,1,,11,3,3,6,1,6,5,4,7,2,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,4,5,NA,5,NA,5,NA,NA,NA,5,5,5,5,4,3,3,2,3,2,5,2,2,4,2,4,6,6,4,3,3,3,2,4,4,4,4,2,1,2,2,1,1,1,2,6,4,1,2,4,2,1,2,2,1,4,5,3,2,5,1,0,1,0,4,ai response,ai label,1.333333333,NA,1.545454545,2.857142857,5,4.5,5,5,4.5,4,6,2,2.666666667,2.75,2.5
644937030a7868838f1e1b9a,4,5,5,1,1,1,49,Female,3,3,,16,2,2,3,2,6,5,3,1,2,2,6,5,2,2,2,7,7,7,4,7,7,7,7,NA,7,NA,4,NA,NA,NA,5,5,4,7,1,1,1,1,1,1,1,1,1,5,1,1,4,4,4,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,0,0,6,human response,ai label,1,1,1,1,6.5,7,5.5,4.666666667,4,1,4,1,1,1,1
5e79340b6d9a624e3f39586d,1,6,2,5,2,2,45,male,5,5,,9,4,3,7,1,6,5,4,3,3,NA,NA,NA,NA,NA,NA,6,6,6,5,4,3,6,6,NA,4,NA,3,NA,NA,NA,2,2,4,1,7,1,4,1,1,1,6,1,1,6,2,1,5,5,3,1,1,1,1,1,1,1,1,5,2,2,2,5,2,1,2,4,5,1,3,5,2,2,2,2,5,1,5,3,1,5,3,0,2,2,1,ai response,ai label,1,NA,1.909090909,4.428571429,5,6,3.5,2.666666667,4,5,5,1,1,1.25,1
62ac706d8544dbe5a81b4212,1,4,5,1,1,1,29,Female,5,3,,9,1,4,5,2,4,5,3,2,1,2,2,5,2,2,2,5,5,5,5,3,1,7,7,NA,7,NA,3,NA,NA,NA,1,1,1,4,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,4,5,1,1,1,5,1,1,1,7,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,3.333333333,human response,ai label,0.666666667,1,1,3.142857143,4,7,5,1,2.5,1.5,1,1,1,1.25,1
614dee533a453a96facba70b,1,7,5,4,3,7,52,male,3,3,,9,1,2,3,1,6,4,3,2,2,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,4,6,6,NA,5,NA,5,6,4,NA,NA,NA,7,2,3,2,3,5,3,4,4,3,4,5,2,2,1,5,4,3,2,5,5,5,5,5,6,5,1,1,1,1,1,1,7,1,1,1,2,1,1,1,4,5,4,6,2,1,4,1,2,2,0,5,ai response,human label,1.5,NA,1.363636364,3.714285714,6,5,5.5,5,4.5,3,1.5,3,4,4,4.5
5941a894d304710001c3766b,3,4,1,1,2,1,27,Male,5,3,,9,5,4,7,2,3,5,2,4,1,1,5,7,1,3,1,3,4,5,4,5,3,2,5,NA,3,NA,2,NA,NA,NA,2,1,3,5,4,4,4,1,5,1,4,4,3,5,2,5,5,5,3,2,2,3,3,1,3,4,3,4,3,5,1,4,4,3,1,6,2,1,4,5,1,3,4,2,4,4,7,5,1,5,1,1,2,1,3.333333333,human response,ai label,1.5,1.666666667,2.727272727,3.857142857,4,3.5,2.5,2,4.5,4,5,2,2.333333333,2,4.5
63386e75b02c4d7013c1198b,2,5,2,2,1,1,58,m,2,3,,11,4,1,1,1,4,3,2,5,1,1,6,6,2,3,2,4,4,4,4,4,4,4,5,4,NA,4,NA,2,2,2,NA,NA,NA,5,3,1,2,1,1,1,1,1,1,5,1,1,2,2,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,0,6,human response,human label,1.166666667,1.5,1,1.428571429,4,4.5,4,2,4,1.5,2,1,1,1,1
60eb1a7c95641da67ae7d611,1,6,4,3,3,2,63,Female,5,3,,10,7,3,5,1,6,4,5,3,4,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,5,5,5,1,6,1,5,1,1,1,5,1,1,6,1,6,6,6,1,1,1,1,1,1,3,2,2,4,5,1,3,4,2,1,1,6,4,2,4,3,1,2,2,4,3,4,4,1,3,3,1,0,0,0,2.333333333,ai response,ai label,0.666666667,NA,2.181818182,4,6,6,6,5,3.5,5,6,1,1,1,1
5e0d256753e8464d64940925,1,6,4,4,1,4,56,female,5,3,,12,4,4,7,1,6,5,4,2,3,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,NA,7,NA,7,NA,NA,NA,7,7,7,1,7,1,3,1,1,1,3,1,1,6,1,4,5,7,1,1,1,1,1,1,1,1,1,6,1,2,2,6,1,1,2,6,5,1,1,5,1,3,1,4,5,3,3,1,2,2,1,2,2,0,1,ai response,ai label,0.5,NA,1.454545455,5.285714286,7,7,7,7,4,3,6,1,1,1,1
5edbe5dce2ccbd0d8110df0b,4,4,4,4,4,4,29,male,5,3,,9,4,3,6,1,4,5,3,2,3,1,5,5,3,1,2,5,5,6,5,4,5,3,3,NA,3,NA,4,NA,NA,NA,4,4,4,3,3,1,4,1,4,1,4,1,1,4,1,4,4,4,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,3,7,1,2,5,1,0,1,0,2,human response,ai label,1.333333333,1.833333333,1,1.857142857,5,3,3.5,4,3,4,4,1,1,1.5,2.5
644087beeb531ba7b10ae320,1,2,2,2,1,1,69,Female,5,3,,13,2,3,7,1,5,6,4,2,4,1,7,7,5,6,3,5,5,5,5,5,6,4,5,4,NA,4,NA,5,5,4,NA,NA,NA,1,6,1,5,1,1,1,4,1,2,6,1,2,5,6,2,2,1,1,2,2,2,2,2,5,1,1,1,4,1,1,1,6,3,1,2,3,1,1,1,1,5,2,5,1,1,5,1,0,1,0,2,human response,human label,2.166666667,3.333333333,1.090909091,3.857142857,5.166666667,4.5,4,4.666666667,3.5,4.5,5.5,1.5,1.666666667,1.25,1
5a80bf6e2a842c0001fc9064,1,7,7,4,1,7,38,Male,2,2,,11,4,1,1,1,6,5,4,2,3,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,NA,7,NA,6,NA,NA,NA,6,6,6,4,5,4,3,4,3,5,5,1,3,3,4,5,7,5,4,4,1,3,3,4,6,6,6,5,5,4,4,4,4,1,4,7,4,5,7,6,4,4,4,4,7,4,7,1,2,7,1,2,3,0,6,ai response,ai label,1.333333333,NA,4.181818182,5.285714286,7,7,6.5,6,4.5,4,6,4,2.666666667,4,2
5c7298d08f31e7000161338d,1,6,4,6,5,6,47,Female,5,3,,9,5,3,4,1,4,3,6,2,5,NA,NA,NA,NA,NA,NA,5,5,5,5,5,4,4,4,NA,3,NA,4,NA,NA,NA,1,1,1,4,4,3,5,4,4,4,5,3,5,5,4,4,4,3,4,5,4,4,4,5,3,3,3,4,4,5,4,5,5,6,5,4,4,5,5,5,4,5,4,5,5,1,2,1,1,3,1,0,0,0,3,ai response,ai label,1.166666667,NA,4.727272727,4.571428571,4.833333333,4,3.5,1,4,5,3.5,4.5,4.333333333,4,3.5
5c1976c90d57c30001b4162c,1,1,1,1,1,1,71,female,7,3,,13,6,3,6,1,5,6,3,2,2,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,NA,7,NA,5,5,7,NA,NA,NA,1,7,1,1,1,1,1,7,1,1,7,1,1,7,7,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,5,1,1,5,1,0,0,0,1,ai response,human label,2.166666667,NA,1,2.285714286,7,7,7,5.666666667,4,4,7,1,1,1,1
62c08fa6cab36e3a08790b49,5,4,4,2,2,1,68,male,6,3,,13,2,3,7,5,2,3,1,2,1,5,2,5,2,3,1,6,6,6,6,6,6,6,7,NA,6,NA,6,NA,NA,NA,5,5,6,2,5,2,4,2,2,3,5,1,2,5,2,1,5,6,2,2,1,1,2,2,4,4,4,3,1,1,1,5,2,1,1,6,3,2,1,2,1,1,1,4,5,1,5,2,1,1,1,1,1,1,4,human response,ai label,0.666666667,0.666666667,1.181818182,4,6,6.5,6,5.333333333,3.5,4.5,5.5,2.5,1.666666667,2,1.5
5e6539acfb6cbb2c083e2c73,2,6,5,4,2,6,35,Female,4,3,,10,3,3,5,1,6,4,5,2,3,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,6,NA,4,NA,5,NA,NA,NA,3,3,4,5,5,1,4,2,1,1,4,1,2,5,3,2,5,5,1,1,1,3,2,2,5,4,5,5,3,2,2,2,1,1,2,7,1,1,5,5,1,1,1,5,6,5,7,5,2,3,1,0,0,0,4.666666667,ai response,ai label,1,NA,1.818181818,4.428571429,5,5.5,4.5,3.333333333,5,4,5,1.5,1.333333333,2,1
6488e429e530a1949174c9f4,4,5,5,4,4,4,61,Male,5,1,,9,1,2,4,2,1,1,3,2,1,NA,NA,NA,NA,NA,NA,5,5,4,5,4,4,6,6,NA,5,NA,4,NA,NA,NA,3,2,3,2,4,3,2,2,2,2,3,2,2,1,3,2,5,3,3,3,2,2,3,4,4,4,4,5,3,3,3,4,3,2,3,4,3,4,2,4,3,3,4,2,3,4,3,3,4,2,3,0,0,0,4,ai response,ai label,2.666666667,NA,3,3.571428571,4.5,6,4.5,2.666666667,3,2.5,4,2,2.666666667,3,2
6473bd2d95a488b826bc24c4,4,1,2,1,1,1,31,Man,2,3,,16,1,1,3,3,5,4,2,1,1,NA,NA,NA,NA,NA,NA,7,5,5,1,4,1,7,7,NA,7,NA,6,NA,NA,NA,1,1,1,3,5,1,1,1,1,1,2,1,2,5,1,2,2,2,1,2,1,1,1,2,3,3,3,4,3,1,1,6,1,1,1,6,1,1,2,1,1,1,1,4,1,4,5,1,1,1,1,-3,-3,-3,3,ai response,ai label,1.333333333,NA,1.272727273,3.285714286,3.833333333,7,6.5,1,4,1.5,2,1.5,1.333333333,1.25,1
5dab0227d586ab0016d28e11,4,1,1,1,1,1,44,Female,5,3,,9,2,3,6,3,2,4,1,2,1,3,5,5,2,1,1,6,6,6,6,4,4,6,6,NA,6,NA,6,NA,NA,NA,5,5,4,1,6,1,6,1,1,1,1,1,1,6,1,1,6,4,1,1,1,1,1,1,2,2,2,6,5,4,4,6,2,1,5,6,6,5,4,6,1,4,2,4,6,1,1,1,1,1,1,0,0,0,2,human response,ai label,1,1.666666667,3.363636364,5.714285714,5.333333333,6,6,4.666666667,3.5,3.5,5,1,1,1,1
60f838095603e27ca51820a7,1,3,2,1,1,1,66,Male,5,3,,13,1,3,6,3,2,4,1,2,1,5,1,1,1,1,1,5,5,5,4,4,3,5,5,3,NA,4,NA,3,3,6,NA,NA,NA,1,3,1,1,1,1,1,2,1,1,5,1,1,2,3,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,6,6,6,3,4,1,2,2,2,2,human response,human label,1,1.166666667,1,1.857142857,4.333333333,5,3.5,4,2,1.5,2.5,1,1,1,1
5c2789fc1694480001e4c4e3,1,1,1,1,1,2,39,Male,3,3,,12,3,3,6,1,7,6,4,2,5,2,5,4,4,2,4,5,5,4,4,4,3,4,4,NA,4,NA,4,NA,NA,NA,2,1,4,4,2,2,1,1,2,2,1,3,2,3,1,1,3,3,2,2,2,1,2,2,6,4,5,6,5,2,2,4,2,1,3,6,4,3,4,4,3,3,4,4,5,3,5,1,1,3,1,0,0,0,5,human response,ai label,3,2.333333333,2.909090909,4.714285714,4.166666667,4,4,2.333333333,3,1,3,2,2,1.5,2.5
6387babfacd7cd425ca0d01f,3,5,6,1,1,1,61,female,3,3,,10,2,3,6,2,5,4,3,1,1,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,NA,7,NA,7,7,7,NA,NA,NA,4,5,1,5,1,1,1,6,1,2,5,2,6,6,6,4,1,1,1,1,1,5,4,4,7,1,1,1,6,1,1,1,6,5,1,4,6,1,1,1,3,7,1,7,1,1,6,1,3,3,3,4.333333333,ai response,human label,0.833333333,NA,1.272727273,5.714285714,7,7,7,7,4.5,5.5,6,1.5,1,1.25,1
56e8bf5a870a8e000b4a8d6e,1,3,5,2,6,1,40,Male,5,3,,10,2,3,5,1,5,4,3,2,2,1,3,5,5,6,1,6,5,6,7,5,5,6,6,5,NA,6,NA,4,5,4,NA,NA,NA,2,5,2,3,1,1,3,1,1,2,2,2,5,5,6,2,2,1,1,1,1,2,2,3,5,5,3,1,4,1,1,1,7,5,1,3,6,1,2,1,4,5,4,6,2,3,5,1,1,3,0,2.333333333,human response,human label,1.5,0.5,1.818181818,5.142857143,5.666666667,6,5.5,4.333333333,3.5,2,5.5,2.5,1.333333333,1.5,1
6428f7ac297e312f7262d93b,1,5,2,1,1,1,59,female,3,3,,10,5,2,3,1,6,5,4,2,3,1,6,2,1,1,1,7,7,7,7,7,7,7,6,6,NA,6,NA,3,3,4,NA,NA,NA,4,4,2,1,2,1,3,1,1,2,1,5,1,1,3,4,2,1,1,3,1,5,3,5,1,1,1,1,1,1,1,1,7,2,1,1,7,1,1,1,7,4,2,2,2,2,2,2,1,1,1,4.333333333,human response,human label,1.666666667,0.166666667,1,4.142857143,7,6.5,6,3.333333333,4,1,2,2.5,2,2.5,1
567dd32b4f0ef30006dbb718,2,5,1,4,1,2,57,Female,7,1,,9,2,3,5,1,7,6,6,5,5,1,7,4,4,1,1,3,3,3,5,2,2,2,4,2,NA,3,NA,2,2,4,NA,NA,NA,5,2,2,1,2,1,1,2,1,1,2,5,1,2,3,6,1,1,1,1,4,6,6,6,6,2,2,2,2,2,1,2,6,4,2,4,4,2,2,2,2,4,4,5,4,1,1,1,0,0,0,6,human response,human label,2.833333333,1.166666667,2.090909091,4,3,3,2.5,2.666666667,3.5,1.5,2.5,1,1,3.25,1
63921f485b7f7955d18ce694,1,7,6,6,4,6,57,female,4,3,,13,4,3,6,1,3,5,4,2,3,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,NA,7,NA,7,7,7,NA,NA,NA,3,4,3,1,2,1,2,1,1,3,4,2,1,2,1,1,3,1,1,3,1,4,3,3,5,5,1,1,4,1,1,2,7,4,1,2,6,1,2,2,6,6,6,7,1,4,6,1,0,2,0,3.333333333,ai response,human label,2,NA,1.727272727,5.428571429,7,7,7,7,3.5,1,1.5,2.5,2.333333333,2,1
5f4a7a00dc1bde60ab8f7ac5,1,4,2,1,1,1,29,Male,5,2,,9,2,2,3,1,6,5,4,2,3,2,5,5,4,3,3,5,4,4,5,4,5,5,5,NA,4,NA,4,NA,NA,NA,1,1,4,1,4,1,1,1,1,1,2,1,1,4,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,7,4,1,1,5,1,1,1,1,5,2,6,1,1,3,1,0,-2,0,1,human response,ai label,1.833333333,2,1,4.285714286,4.5,5,4,2,2.5,1.5,4,1,1,1,1
5d16b6890a274600163f6518,6,5,2,1,1,1,33,Female,6,"3,4",,9,5,3,5,1,5,4,3,4,2,1,5,7,3,2,2,7,6,6,6,5,5,1,6,5,NA,5,NA,5,5,5,NA,NA,NA,1,5,2,5,1,2,1,3,1,2,5,1,1,5,6,4,1,2,1,2,2,2,2,2,3,2,1,1,5,1,1,1,7,3,1,1,6,1,1,1,1,2,2,3,1,1,1,1,0,0,0,2,human response,human label,2.166666667,2.333333333,1.090909091,3.857142857,5.833333333,3.5,5,5,3,4,5.5,1.5,1.666666667,1.5,1.5
5c109ce457fd11000127f3de,6,1,1,1,1,1,36,Male,5,3,,9,1,4,8,4,2,3,1,2,1,NA,NA,NA,NA,NA,NA,5,6,6,5,6,4,5,6,6,NA,6,NA,5,4,3,NA,NA,NA,2,4,1,4,1,1,1,5,1,1,5,2,3,6,5,4,1,2,1,2,1,4,3,3,5,4,1,1,1,1,1,1,7,1,1,1,5,1,1,1,4,1,2,6,1,1,4,1,0,3,0,3.333333333,ai response,human label,1,NA,1.272727273,3.428571429,5.333333333,5.5,6,4,3,4.5,5.5,1,1.666666667,1.25,1
