sp_id,rp_id,seeker_post,response_post,level_emotional_reactions,rationales_emotional_reactions,level_explorations,rationales_explorations,level_interpretations,rationales_interpretations
9t0b89,e8txotz,"Cyclothymia. I have just been diagnosed with cyclothymia and am terrified because changing my meds. My meds been working the greatest, but so scared to switch them up. Does anyone else have experience with cyclothymia? just now for the first time in my life recognizing the symptoms I have.","I was diagnosed with it when I was 15, and I am 22 now. For my antidepressant, I tried lexapro ( which i stopped taking; because, it made my dick stop working), and wellbutrin.. which was alright. My antipsychotic was risperidone.. which I honestly am still dealing with a side affect of it till this day. I'll be honest, I took those combination of drugs for like 2.5 years, and just stopped. I learned how to deal with the symptoms a lot better than I did from years prior.. looking back.. thst could've gone poorly. I'd recommend being open in discussion with your psychiatrist about the effects these drugs are having on your body and your mood. There are quite a few drug combinations for this type of diagnosis, and it would be wise to work dilligently with your psychiatrist until you find the combination for you. Don't be afraid of them changing your meds. They aren't work anyway, so you may as well be open to working with professionals to find something that works for you and your body. I'd also recommend to try being aware as possible if the symptoms, the triggers for those symptoms, and look to grow from them even while on these medications. Keep a close eye out for unwanted side effects. A lot of the medicines they may try to prescribe would require regular schedules blood work. I'll be honest, I did the irresponsible thing and ended up just not taking them. I got tired of taking medicine at that point; because, I had been taking it all my life. Whether it was for childhood epilepsy, ADHD, depression, and the last diagnosis cyclothymia. Was hospitalized twice before I got the cyclothymia diagnosis, and it was pretty bad at one point, and looking back.. I'm really lucky I didn't mess myself up by just stopping cold turkey. Work with your psychiatrist and maybe even work with a therapist if you can. Do all you can do to find the proper treatment, and YOU WILL BE OKAY. You are not",1,"Do all you can do to find the proper treatment, and YOU WILL BE OKAY.|",0,,2,"I was diagnosed with it when I was 15, and I am 22 now.|I'll be honest, I took those combination of drugs for like 2.5 years, and just stopped. I learned how to deal with the symptoms a lot better than I did from years prior.. looking back.. thst could've gone poorly.|"
64vfny,dg5dua3,Living is hard. It sucks. I'm tired of school. Im tired of work. I'm just tired of everything.,What do you like to do?,0,,2,What do you like to do?|,0,
7rmqzi,dsy41wd,I'm so ready to die. There is nothing for me in this life,"but how can you play sims when you're dead? jokes aside, don't do anything okay, calm down. life will bring beauty, hang on.",1,". life will bring beauty, hang on.|",0,,0,
96kkj0,e4173mc,Lexapro and Abilify. Has anyone been on this combination? If so can you give some insight?,"on it right now, but I be much help as I have been known to be treatment resistant and for me it does about the same as the rest as in it more so numbs me to all feeling but is not as strong as others in that way so i still sunk low quite a bit, but on like 7 or 8 different meds in the past 6 years so my experience mean to much, I hope it works great for you though. If you mind me asking what is the dosage your on for them?",1,I hope it works great for you though|,2,If you mind me asking what is the dosage your on for them?|,1,"on it right now, but I be much help as I have been known to be treatment resistant and for me it does about the same as the rest as in it more so numbs me to all feeling but is not as strong as others in that way so i still sunk low quite a bit, but on like 7 or 8 different meds in the past 6 years so my experience mean to much|"
857ps1,dvve0kf,"I slept my entire week away. I've slept 12+ hours everyday this week and missed all my classes, didn't hand in an assignment and I don't care. I think I'm going to fail two classes this semester. I don't know what I'm going to do. I can't see myself finishing my degree.",You are in a difficult life situation and you seem to be a young guy. Does your family knows you are having a hard time in college?,0,,2,You are in a difficult life situation and you seem to be a young guy. Does your family knows you are having a hard time in college?|,1,You are in a difficult life situation and you seem to be a young guy.|
8w0orm,e1ruepi,"I seem to always be the first to try and help someone else with their problems, yet when I need help nobody seems to be around to be an open ear for me, I wish I had someone in real life who cared enough to listen to me and just let me spill everything out. Anyone else feel this way?","I'm not entirely certain what reaction you're getting, but I hope you'll give those around you a little slack if they can't be as openly receptive and caring as you need at first. I'm sort of the designated problem solver in my circle, so quite a few of my friends come to me for advice and sympathy. It's never, never a burden. Instead, it's an honor. They trust me with their secrets, their problems, and value my opinion enough to ask for it. Reverse the situation. Aren't you glad when someone comes to you? The thing is, not everyone is built for that. Especially, I have found, it can sort of weird people out when the Rock, the Stable One, the One Person In This Messed Up World Who Has Their Stuff Together needs help. I mean, here's the person they go to and they rely on when they need support... and that person needs support. Suddenly you're not Superman anymore and it can be a bit disconcerting. Perhaps try introducing A problem at a time, slowly, and seeing if they can get used to you also being a normal human with issues. Good luck!!",1,"'m not entirely certain what reaction you're getting, but I hope you'll give those around you a little slack if they can't be as openly receptive and caring as you need at first.|Perhaps try introducing A problem at a time, slowly, and seeing if they can get used to you also being a normal human with issues. Good luck!!|",2,Aren't you glad when someone comes to you?|,2,"I'm sort of the designated problem solver in my circle, so quite a few of my friends come to me for advice and sympathy. It's never, never a burden. Instead, it's an honor. They trust me with their secrets, their problems, and value my opinion enough to ask for it.|I have found, it can sort of|I mean, here's the person they go to and they rely on when they need support... and that person needs support. Suddenly you're not Superman anymore and it can be a bit disconcerting|"
43dc0h,czhnmqd,Early signs of depression?. What are your experiences with early sign of depression?,"For me, I knew something was wrong when I had my first breakdown. I used to tell myself that I was tired or just lazy because I couldn't get things done. In actual fact, I had no motivation left in me. However, after that episode, it got worse for me because I felt all alone as I had no one to confide to, especially when my first breakdown was in front of my family.",0,,0,,2,"For me, I knew something was wrong when I had my first breakdown. I used to tell myself that I was tired or just lazy because I couldn't get things done. In actual fact, I had no motivation left in me. However, after that episode, it got worse for me because I felt all alone as I had no one to confide to, especially when my first breakdown was in front of my family.|"
4kz2qw,d3j6efd,"I think one of my issues is that I don't want to interact with, or even acknowledge, my own body. Does that make sense?. I think it's part of a whole detachment thing where I try to feel like I don't exist or like my life isn't really happening.",Absolutely. I always dream from the POV of someone else (usually imaginary). Reading novels and trying to forget reality feels better too.,0,,0,,0,
6ay35x,dhiscyo,"I literally cried myself to sleep, then I woke up in the morning to cry again.. Now I can't fall back asleep, but that's all I want to do",that's when you grab a bottle of something strong and put yourself back to sleep,0,,0,,0,
7ce4za,dpp7tc5,I just realized my grandpa dying had no effect to me. I didn't feel sad nor shocked.. I still don't. I don't feel any way towards it.,"Same, my grandpa was half a world away and to be honest, didn't really have that much of a bond with me. It made me feel less human for feeling so normal still but it caught up with me eventually. Either way, sorry about your grandpa",1,sorry about your grandpa|,0,,2,"Same, my grandpa was half a world away and to be honest, didn't really have that much of a bond with me. It made me feel less human for feeling so normal still but it caught up with me eventually.|"
71c0m3,dn9pkff,Huhu. Tired of being college. Im done.,"Sorry, it's hard. I hated it.",1,"Sorry, it's hard. I hated it.|",0,,2,I hated it|
73cm60,dnpb3ft,Making my bed makes me feel like I have my life under control. I but at least it looks like I do.,I can't get anything done if my bed isn't made. It's the first thing I do every morning.,0,,0,,2,I can't get anything done if my bed isn't made. It's the first thing I do every morning.|
88x9zy,dwpez20,Why do i do this. When I'm having a real bad night. I will sleep in an uncomfortable place. Last night it was on the living room floor with just a hoody as cover.. it doesn't make me feel better. I maybe feel like I don't deserve something as normal as a bed..,"I think it just could be that you're tired from all the pain and suffering you endured throughout the day, and (as you've said) feel that you dont deserve the bed. But trusy me, that bed will be the greatest thing in your life. Whether its to sleep in, or cry on, you will feel bettee",1,"But trusy me, that bed will be the greatest thing in your life. Whether its to sleep in, or cry on, you will feel bettee|",0,,0,
7xxfqn,duby1kh,"Best night in a while :). It's 12:30AM and I'm halfway through a fifth of Skyy watching Cowboy Bebop. I'm not worrying about class, work, or some social bullshit. maybe this is what I needed.",Cowboy Bebop is one of my favorite animes! Glad you're doing well.,1,Glad you're doing well.|,0,,0,
5o2dfv,dcg770i,"Currently sitting at the water's edge, wanting to jump. Don't worry I don't think I actually will.",Why? Do you want to talk about it? Whats made you feel like wanting to?,1,Do you want to talk about it?|,1,Why?|Whats made you feel like wanting to?|,0,
68qep0,dh0heoe,it's been almost a year now. how long will this go on,*hugs* Try and take care of yourself. I know it seems hopeless and like your trapped but don't let this fucker get the best of you,2,*hugs* Try and take care of yourself. I know it seems hopeless and like your trapped but don't let this fucker get the best of you|,0,,0,
