conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags,empathy1,relevance1,fluency1,empathy2,relevance2,fluency2
hit:887_conv:1775,2,jealous,I felt really left out when my friends went to a theme park without me. It really bothers me that they didn't even tell me they were going. I really wish I could have gone,250,You still consider them your friends after that?,3|5|5_5|5|5,,3.0,5.0,5.0,5.0,5.0,5.0
hit:887_conv:1775,3,jealous,I felt really left out when my friends went to a theme park without me. It really bothers me that they didn't even tell me they were going. I really wish I could have gone,251,I've been friends with them for a long time_comma_ but I don't know they never even told me.,3|5|5_5|5|5,,3.0,5.0,5.0,5.0,5.0,5.0
hit:887_conv:1775,4,jealous,I felt really left out when my friends went to a theme park without me. It really bothers me that they didn't even tell me they were going. I really wish I could have gone,250,That's messed up.,3|5|5_5|5|5,,3.0,5.0,5.0,5.0,5.0,5.0
hit:965_conv:1930,1,afraid,I saw a shark in the water last week.,4,I saw a shark in the water last week.,5|5|5_3|4|4,,5.0,5.0,5.0,3.0,4.0,4.0
hit:965_conv:1930,2,afraid,I saw a shark in the water last week.,226,Were you afraid or thrilled or both?,5|5|5_3|4|4,,5.0,5.0,5.0,3.0,4.0,4.0
hit:965_conv:1930,3,afraid,I saw a shark in the water last week.,4,I was afraid.,5|5|5_3|4|4,,5.0,5.0,5.0,3.0,4.0,4.0
hit:965_conv:1930,4,afraid,I saw a shark in the water last week.,226,Were you in the water?,5|5|5_3|4|4,,5.0,5.0,5.0,3.0,4.0,4.0
hit:3379_conv:6758,1,ashamed,During a work meeting_comma_ I was presenting and then suddenly my pant dropped. I felt so bad.,7,During a work meeting_comma_ I was presenting and then suddenly my pant dropped. I felt so bad.,5|5|5_3|3|4,,5.0,5.0,5.0,3.0,3.0,4.0
hit:3379_conv:6758,2,ashamed,During a work meeting_comma_ I was presenting and then suddenly my pant dropped. I felt so bad.,226,Oh my gosh. Why did your pants fall?,5|5|5_3|3|4,,5.0,5.0,5.0,3.0,3.0,4.0
hit:3379_conv:6758,3,ashamed,During a work meeting_comma_ I was presenting and then suddenly my pant dropped. I felt so bad.,7,The pant button broke. After it felt. I was holding it up with my hands.,5|5|5_3|3|4,,5.0,5.0,5.0,3.0,3.0,4.0
hit:3379_conv:6758,4,ashamed,During a work meeting_comma_ I was presenting and then suddenly my pant dropped. I felt so bad.,226,Were you able to laugh it off or were you so mortified you wanted to crawl out of the room?,5|5|5_3|3|4,,5.0,5.0,5.0,3.0,3.0,4.0
hit:3636_conv:7272,1,anxious,I hate being in public by myself. It gets me super nervous and I turn bright red.,269,I hate being in public by myself. It gets me super nervous and I turn bright red.,5|5|5_2|4|5,,5.0,5.0,5.0,2.0,4.0,5.0
hit:3636_conv:7272,2,anxious,I hate being in public by myself. It gets me super nervous and I turn bright red.,462,Oh_comma_ that must be so stressful. Does it happen all the time - like even at the grocery store?,5|5|5_2|4|5,,5.0,5.0,5.0,2.0,4.0,5.0
hit:3636_conv:7272,3,anxious,I hate being in public by myself. It gets me super nervous and I turn bright red.,269,Sometimes_comma_ only when I am by myself. I am just an anxious person in general so there's that.,5|5|5_2|4|5,,5.0,5.0,5.0,2.0,4.0,5.0
hit:3636_conv:7272,4,anxious,I hate being in public by myself. It gets me super nervous and I turn bright red.,462,Do you have someone to go places with you? Or do you just have to power through it?,5|5|5_2|4|5,,5.0,5.0,5.0,2.0,4.0,5.0
hit:7112_conv:14224,1,afraid,When my mom was in the ER,516,Last week my mom was in the ER_comma_ it was a horrible feeling,3|4|5_5|5|5,,3.0,4.0,5.0,5.0,5.0,5.0
hit:7112_conv:14224,2,afraid,When my mom was in the ER,63,wow thats so horrible,3|4|5_5|5|5,,3.0,4.0,5.0,5.0,5.0,5.0
hit:7112_conv:14224,3,afraid,When my mom was in the ER,516,Yes_comma_ and I don't know how it will all pay out,3|4|5_5|5|5,,3.0,4.0,5.0,5.0,5.0,5.0
hit:7112_conv:14224,4,afraid,When my mom was in the ER,63,hopefully well,3|4|5_5|5|5,,3.0,4.0,5.0,5.0,5.0,5.0
hit:7112_conv:14224,5,afraid,When my mom was in the ER,516,I gues so,3|4|5_5|5|5,,3.0,4.0,5.0,5.0,5.0,5.0
hit:8681_conv:17362,1,embarrassed,I farted at work today. I never have been mortified in my life.,209,I let out a moist_comma_ warm fart today in front of all of my co-workers today.,5|5|5_2|3|4,,5.0,5.0,5.0,2.0,3.0,4.0
hit:8681_conv:17362,2,embarrassed,I farted at work today. I never have been mortified in my life.,117,You must be very comfortable in your office! How did they react?,5|5|5_2|3|4,,5.0,5.0,5.0,2.0,3.0,4.0
hit:8681_conv:17362,3,embarrassed,I farted at work today. I never have been mortified in my life.,209,Some ran away in terror. Others in disgust. I think I sent one to the ER even. At any rate_comma_ I was mortified and I am sure I won't ever live this tragedy down.,5|5|5_2|3|4,,5.0,5.0,5.0,2.0,3.0,4.0
hit:8681_conv:17362,4,embarrassed,I farted at work today. I never have been mortified in my life.,117,I am sorry that you now live in infamy. Maybe_comma_ with time_comma_ they can learn to forgive you.,5|5|5_2|3|4,,5.0,5.0,5.0,2.0,3.0,4.0
hit:11447_conv:22894,1,jealous,When I was in middle school my sister left for college. I visited her dorm room and it was so cool. I wanted to be in college too.,652,When I was in middle school_comma_ my older sister went to college_comma_ and I saw her dorm after she moved in.,1|2|5_4|4|4,,1.0,2.0,5.0,4.0,4.0,4.0
hit:11447_conv:22894,2,jealous,When I was in middle school my sister left for college. I visited her dorm room and it was so cool. I wanted to be in college too.,650,What was it like I have always wanted to live in a dorm and go to colledge?,1|2|5_4|4|4,,1.0,2.0,5.0,4.0,4.0,4.0
hit:11447_conv:22894,3,jealous,When I was in middle school my sister left for college. I visited her dorm room and it was so cool. I wanted to be in college too.,652,It was so cool. I really wanted to go to college just like her.,1|2|5_4|4|4,,1.0,2.0,5.0,4.0,4.0,4.0
hit:11447_conv:22894,4,jealous,When I was in middle school my sister left for college. I visited her dorm room and it was so cool. I wanted to be in college too.,650,Well you should have why didn't you?,1|2|5_4|4|4,,1.0,2.0,5.0,4.0,4.0,4.0
hit:11447_conv:22894,5,jealous,When I was in middle school my sister left for college. I visited her dorm room and it was so cool. I wanted to be in college too.,652,I was still in middle school! I wasn't old enough_comma_ but I really wished I could be there.,1|2|5_4|4|4,,1.0,2.0,5.0,4.0,4.0,4.0
hit:12057_conv:24115,1,embarrassed,I accidentally dropped a dumbell on my toe at the gym. I felt so stupid.,53,I accidentally droped a dumbell on my toe at the gym. I felt so freaking stupid.,5|5|5_3|3|4,,5.0,5.0,5.0,3.0,3.0,4.0
hit:12057_conv:24115,2,embarrassed,I accidentally dropped a dumbell on my toe at the gym. I felt so stupid.,126,Did it hurt though,5|5|5_3|3|4,,5.0,5.0,5.0,3.0,3.0,4.0
hit:12057_conv:24115,3,embarrassed,I accidentally dropped a dumbell on my toe at the gym. I felt so stupid.,53,Yeah it hurt and I was listening to music so I might have yelled a cuss word loudly.,5|5|5_3|3|4,,5.0,5.0,5.0,3.0,3.0,4.0
hit:12057_conv:24115,4,embarrassed,I accidentally dropped a dumbell on my toe at the gym. I felt so stupid.,126,I am sorry_comma_ I would cuss too if it happened to me,5|5|5_3|3|4,,5.0,5.0,5.0,3.0,3.0,4.0
hit:12057_conv:24115,5,embarrassed,I accidentally dropped a dumbell on my toe at the gym. I felt so stupid.,53,It hurt my pride more though lol,5|5|5_3|3|4,,5.0,5.0,5.0,3.0,3.0,4.0
hit:529_conv:1059,1,guilty,I ate the last one of my wife's favorite cookies.,167,I ate the last one of my wife's favorite cookies.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:529_conv:1059,2,guilty,I ate the last one of my wife's favorite cookies.,175,hahah yea i have done that more than once.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:529_conv:1059,3,guilty,I ate the last one of my wife's favorite cookies.,167,She was not happy after she told me to save her some. I could not resist.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:529_conv:1059,4,guilty,I ate the last one of my wife's favorite cookies.,175,what flavor was the cookie?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:529_conv:1059,5,guilty,I ate the last one of my wife's favorite cookies.,167,White chocolate macadamia.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:1670_conv:3341,1,terrified,I was terrified when I heard a knock at my door late at night,267,I was terrified when I heard a knock at my door late at night,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:1670_conv:3341,2,terrified,I was terrified when I heard a knock at my door late at night,4,Who was it?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:1670_conv:3341,3,terrified,I was terrified when I heard a knock at my door late at night,267,It was my neighbor letting me know I left the garage open,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:1670_conv:3341,4,terrified,I was terrified when I heard a knock at my door late at night,4,That was nice of them.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:2088_conv:4177,1,embarrassed,I was at the store the other day and I bumped in to a wine rack and knocked over a bunch of bottles_comma_ and people were staring which was so embarrassing. ,152,I was shopping at the store the other day and I bumped into a rack and spilled wine bottles everywhere. Everyone was staring. ,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:2088_conv:4177,2,embarrassed,I was at the store the other day and I bumped in to a wine rack and knocked over a bunch of bottles_comma_ and people were staring which was so embarrassing. ,209,Oh geez_comma_ that sounds pretty embarrassing. Did any of the bottles break?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:2088_conv:4177,3,embarrassed,I was at the store the other day and I bumped in to a wine rack and knocked over a bunch of bottles_comma_ and people were staring which was so embarrassing. ,152,No luckily haha but it made me blush for sure.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:2088_conv:4177,4,embarrassed,I was at the store the other day and I bumped in to a wine rack and knocked over a bunch of bottles_comma_ and people were staring which was so embarrassing. ,209,That's a shame. If they did_comma_ you could've reversed the situation and summoned everybody over to throw down and have a supremo wine fest.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3735_conv:7470,1,sad,Yesterday my pet hamster died. He just turned two and was not moving very much. I was tearful when I felt his body and it was cold.,139,Yesterday my hamster passed away. He was barely two years old :(.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3735_conv:7470,2,sad,Yesterday my pet hamster died. He just turned two and was not moving very much. I was tearful when I felt his body and it was cold.,291,What was your hamster's name?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3735_conv:7470,3,sad,Yesterday my pet hamster died. He just turned two and was not moving very much. I was tearful when I felt his body and it was cold.,139,His name was Sparky. I reached into his cage to pick him up because he was not moving. His poor body was cold. I was so tearful.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3735_conv:7470,4,sad,Yesterday my pet hamster died. He just turned two and was not moving very much. I was tearful when I felt his body and it was cold.,291,Do you know what it was that happened to kill him?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4103_conv:8207,1,embarrassed,I walked around my office with my dress shoved in my underwear!,220,I can't believe I'm even sharing this with anyone because I want to forget it but earlier I was walking around the office with my dress shoved in my underwear!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4103_conv:8207,2,embarrassed,I walked around my office with my dress shoved in my underwear!,296,Oh man! I've been there. That is hard. I hope it wasn't too long!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4103_conv:8207,3,embarrassed,I walked around my office with my dress shoved in my underwear!,220,I have no idea! I don't even know if anyone noticed because they didn't tell me! I figured it out myself when I went to the bathroom again.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4103_conv:8207,4,embarrassed,I walked around my office with my dress shoved in my underwear!,296,Don't you hate that when people don't tell you? Well now you know your co-workers can't be trusted! But maybe they were busy and just didn't notice- which is goo!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4103_conv:8207,5,embarrassed,I walked around my office with my dress shoved in my underwear!,220,You have a way of making me feel a little better_comma_ thank you!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4103_conv:8207,6,embarrassed,I walked around my office with my dress shoved in my underwear!,296,Aw so sweet! Your very welcome. We've all been there! I completely understand. I don't think anyone saw :),5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:7797_conv:15594,1,terrified,Young children need to stay far away from me!,9,Kids need to stay away from me_comma_ they are too loud!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:7797_conv:15594,2,terrified,Young children need to stay far away from me!,53,That's funny! I agree and it's worse when they aren't your kids.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:7797_conv:15594,3,terrified,Young children need to stay far away from me!,9,I dont even want my own kids.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:7797_conv:15594,4,terrified,Young children need to stay far away from me!,53,To each their own. I have 3 and to be honest_comma_ I'm glad they are getting older. Babies suck.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:8986_conv:17972,1,furious,I saw someone throw trash from a moving car yesterday.,332,I saw someone throw some trash from a moving car yesterday. I was so angry.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:8986_conv:17972,2,furious,I saw someone throw trash from a moving car yesterday.,297,That is infuriating. I dont see how some people are so unaware.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:8986_conv:17972,3,furious,I saw someone throw trash from a moving car yesterday.,332,I know_comma_ right? I wish I got their license plate. I would've reported them.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:8986_conv:17972,4,furious,I saw someone throw trash from a moving car yesterday.,297,I feel you. Some people just suck.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:9116_conv:18233,1,ashamed,I ate my son's birthday ice cream cake.  I feel so guilty for my behavior.,322,I ate my son's birthday ice cream cake.,4|4|5_4|5|5,,4.0,4.0,5.0,4.0,5.0,5.0
hit:9116_conv:18233,2,ashamed,I ate my son's birthday ice cream cake.  I feel so guilty for my behavior.,126,I love ice cream cake_comma_ did you enjoy it?,4|4|5_4|5|5,,4.0,4.0,5.0,4.0,5.0,5.0
hit:9116_conv:18233,3,ashamed,I ate my son's birthday ice cream cake.  I feel so guilty for my behavior.,322,Yes_comma_ but I feel so guilty for my behavior. ,4|4|5_4|5|5,,4.0,4.0,5.0,4.0,5.0,5.0
hit:9116_conv:18233,4,ashamed,I ate my son's birthday ice cream cake.  I feel so guilty for my behavior.,126,Its just cake_comma_ there will always be another cake,4|4|5_4|5|5,,4.0,4.0,5.0,4.0,5.0,5.0
hit:9349_conv:18698,1,embarrassed,I had a huge mustard stain on my shirt all day at work. And none of my coworkers let me know about it!,366,I felt so bad when I got home from work because I saw a huge mustard stain on my shirt!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:9349_conv:18698,2,embarrassed,I had a huge mustard stain on my shirt all day at work. And none of my coworkers let me know about it!,55,Aw that's the worst_comma_ especially when the clothes are new!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:9349_conv:18698,3,embarrassed,I had a huge mustard stain on my shirt all day at work. And none of my coworkers let me know about it!,366,Yes! I couldn't believe that none of my coworkers were willing to let me know about it.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:9349_conv:18698,4,embarrassed,I had a huge mustard stain on my shirt all day at work. And none of my coworkers let me know about it!,55,That's pretty annoying that nobody told you!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:9988_conv:19976,1,terrified,I was so scared to go on my first roller coaster. I am deathly afraid of heights.,209,I was so afraid to go on my first roller coaster this year. ,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:9988_conv:19976,2,terrified,I was so scared to go on my first roller coaster. I am deathly afraid of heights.,670,Did you have fun? It's always great to face your fears!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:9988_conv:19976,3,terrified,I was so scared to go on my first roller coaster. I am deathly afraid of heights.,209,I did! But it was so hard overcoming my fear of heights. I thought I was going to die on the way up!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:9988_conv:19976,4,terrified,I was so scared to go on my first roller coaster. I am deathly afraid of heights.,670,Yay! I always find myself really nervous before the ride_comma_ but once I'm off of it_comma_ I want to go again! ,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:1490_conv:2981,1,guilty,I felt bad when I lied to a cousin about missing his wedding. I made up an excuse,126,I felt bad when I lied to my cousin. I mad up an excuse when I missed his wedding,4|5|4_5|5|5,,4.0,5.0,4.0,5.0,5.0,5.0
hit:1490_conv:2981,2,guilty,I felt bad when I lied to a cousin about missing his wedding. I made up an excuse,209,Dang_comma_ that's kinda hurtful. Why did you miss the wedding?,4|5|4_5|5|5,,4.0,5.0,4.0,5.0,5.0,5.0
hit:1490_conv:2981,3,guilty,I felt bad when I lied to a cousin about missing his wedding. I made up an excuse,126,I was hungover and sick,4|5|4_5|5|5,,4.0,5.0,4.0,5.0,5.0,5.0
hit:1490_conv:2981,4,guilty,I felt bad when I lied to a cousin about missing his wedding. I made up an excuse,209,I've had those days before. I would just take it as a lesson and try to control your drinking next time when important events are in the near future.,4|5|4_5|5|5,,4.0,5.0,4.0,5.0,5.0,5.0
hit:1502_conv:3005,1,disgusted,I saw a piece of dried poop in my closet that I had no clue about. My dog sure is sneaky.,269,I saw a piece of dried poop in my closet that I had no clue about. My dog sure is sneaky,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:1502_conv:3005,2,disgusted,I saw a piece of dried poop in my closet that I had no clue about. My dog sure is sneaky.,209,I have a pesky_comma_ sneaky little dog like that too! Did you clean it up?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:1502_conv:3005,3,disgusted,I saw a piece of dried poop in my closet that I had no clue about. My dog sure is sneaky.,269,Of course_comma_ I picked it up and sprayed some disinfectant in the area.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:1502_conv:3005,4,disgusted,I saw a piece of dried poop in my closet that I had no clue about. My dog sure is sneaky.,209,That's good. Was she guilty when she saw you cleaning it up?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:2097_conv:4194,1,angry,My husband's sister was living with us. She was acting rude_comma_ and we ended up kicking her out. ,152,My husband's sister was living with us. She was acting rude so we had to kick her out.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:2097_conv:4194,2,angry,My husband's sister was living with us. She was acting rude_comma_ and we ended up kicking her out. ,13,Oh no that is terrible. Are you guys still talking now?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:2097_conv:4194,3,angry,My husband's sister was living with us. She was acting rude_comma_ and we ended up kicking her out. ,152,No not at all it's a little tense.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:2097_conv:4194,4,angry,My husband's sister was living with us. She was acting rude_comma_ and we ended up kicking her out. ,13,Well that is not good. What did she do that was so bad?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:2097_conv:4194,5,angry,My husband's sister was living with us. She was acting rude_comma_ and we ended up kicking her out. ,152,She wanted to try to use all of the money she had saved up (only a few hundred after two months) to go visit a friend in California even though she was supposed to be saving up for her own place or school_comma_ and when we said no she started insulting us. ,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3104_conv:6209,1,annoyed,My cat threw up a hairball on my bed yesterday. I was so peeved at her.,209,My cat threw up a hairball on bed yesterday. I was so peeved!,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3104_conv:6209,2,annoyed,My cat threw up a hairball on my bed yesterday. I was so peeved at her.,27,Those are so gross.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3104_conv:6209,3,annoyed,My cat threw up a hairball on my bed yesterday. I was so peeved at her.,209,I know! I was almost too afraid to pick it to throw it away.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3104_conv:6209,4,annoyed,My cat threw up a hairball on my bed yesterday. I was so peeved at her.,27,Did you put the cat in time out?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3931_conv:7863,1,embarrassed,I stole alcohol from my dad and got caught_comma_ I'm ashamed.,220,I stole alcohol from my dad and was caught and decided to lie instead of confessing. I'm ashamed.,5|5|5_4|5|5,,5.0,5.0,5.0,4.0,5.0,5.0
hit:3931_conv:7863,2,embarrassed,I stole alcohol from my dad and got caught_comma_ I'm ashamed.,478,Hey it's ok. We all do stupid things when we are young. ,5|5|5_4|5|5,,5.0,5.0,5.0,4.0,5.0,5.0
hit:3931_conv:7863,3,embarrassed,I stole alcohol from my dad and got caught_comma_ I'm ashamed.,220,Yeah but I don't know if he's ever gonna talk to me again.,5|5|5_4|5|5,,5.0,5.0,5.0,4.0,5.0,5.0
hit:3931_conv:7863,4,embarrassed,I stole alcohol from my dad and got caught_comma_ I'm ashamed.,478,Give it time. I'm sure he will come around. ,5|5|5_4|5|5,,5.0,5.0,5.0,4.0,5.0,5.0
hit:3961_conv:7922,1,devastated,I lost my ipad the other day. I can't believe it. I think it was stolen,27,I lost my ipad the othe day,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3961_conv:7922,2,devastated,I lost my ipad the other day. I can't believe it. I think it was stolen,220,Have you found it?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3961_conv:7922,3,devastated,I lost my ipad the other day. I can't believe it. I think it was stolen,27,No I think it was stolen. We went to the park and i dont know what happened.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3961_conv:7922,4,devastated,I lost my ipad the other day. I can't believe it. I think it was stolen,220,It very well could have been. I'm sorry_comma_ that sucks.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:3961_conv:7922,5,devastated,I lost my ipad the other day. I can't believe it. I think it was stolen,27,IT does. I am wondering if it will turn up. Trying to be optimistic,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4090_conv:8181,1,embarrassed,I forgot my wallet in the car and took like 200 dollars worth of clothes to the counter at macys,262,I took like 200 dollars worth of clothes to the counter at macys,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4090_conv:8181,2,embarrassed,I forgot my wallet in the car and took like 200 dollars worth of clothes to the counter at macys,448,Wow_comma_ and you just walked out the store with them?,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4090_conv:8181,3,embarrassed,I forgot my wallet in the car and took like 200 dollars worth of clothes to the counter at macys,262,I left my wallet. I was so embarassed I didnt go back after I made it to the counter.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4090_conv:8181,4,embarrassed,I forgot my wallet in the car and took like 200 dollars worth of clothes to the counter at macys,448,Oh_comma_ I thought you stole them_comma_ but I've done that before too. Not to that extent though.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4090_conv:8181,5,embarrassed,I forgot my wallet in the car and took like 200 dollars worth of clothes to the counter at macys,262,Lol I didn't steal them... not this time,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4233_conv:8466,1,disappointed,I asked my brother to bring me a gift from his trip. He didn't bring anything.,7,I asked my brother to bring me a gift from his trip. He didn't bring anything.,5|5|5_4|4|5,,5.0,5.0,5.0,4.0,4.0,5.0
hit:4233_conv:8466,2,disappointed,I asked my brother to bring me a gift from his trip. He didn't bring anything.,322,I'm sorry to hear that.  Maybe next time?,5|5|5_4|4|5,,5.0,5.0,5.0,4.0,4.0,5.0
hit:4233_conv:8466,3,disappointed,I asked my brother to bring me a gift from his trip. He didn't bring anything.,7,I don't know. He disappointed me.,5|5|5_4|4|5,,5.0,5.0,5.0,4.0,4.0,5.0
hit:4233_conv:8466,4,disappointed,I asked my brother to bring me a gift from his trip. He didn't bring anything.,322,I hope you feel better about it.,5|5|5_4|4|5,,5.0,5.0,5.0,4.0,4.0,5.0
hit:4345_conv:8691,1,annoyed,My mom makes me babysit my nephew all the time. I am sick of it. He is a brat.,243,My mom makes me babysit my nephew all the time.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4345_conv:8691,2,annoyed,My mom makes me babysit my nephew all the time. I am sick of it. He is a brat.,284,I would not want to be in your position it's ok to help but all the time it can be dreadful. ,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
hit:4345_conv:8691,3,annoyed,My mom makes me babysit my nephew all the time. I am sick of it. He is a brat.,243,I am sick of it. He is a brat.,5|5|5_5|5|5,,5.0,5.0,5.0,5.0,5.0,5.0
