id,user_id,conversation_id,validating_emotions,validating_emotions_example,encouraging_elaboration,encouraging_elaboration_example,demonstrating_understanding,demonstrating_understanding_example,self_oriented,self_oriented_example,advice_giving,advice_giving_example,dismissing_emotions,dismissing_emotions_example,time_created
59,73d717c2ffa13f661ab0a7d8876b00db,20241031143107374365,1,"I'll get some reservations. In the meantime, I'll start looking at job ads for you. ",5,"
I am so sorry to hear that. Did you get any severance? ",1,I think you need to focus on one day at a time. It's normal to feel bummed right now. You need to do something to take your mind off this for today. Then start working on the next thing tomorrow. ,1,What's your favorite restaurant? Maybe we can plan something for a few days from now. My treat! ,3,I think you need to focus on one day at a time. It's normal to feel bummed right now. You need to do something to take your mind off this for today. Then start working on the next thing tomorrow. ,1,I totally get that. Is there anything you are even a little excited about? Maybe this is a chance to try something new and exciting? ,2024-12-23 20:46:16.208667
63,ec2d1c8dc63003ffcabed6fb72e4fcbe,20241031131104204354,4,You are a hard worker and intelligent,3,Oh I'm sorry to hear that. Is there anything I can do?,2,Oh I'm sorry to hear that. Is there anything I can do?,1,You are a hard worker and intelligent,3,Take some time for yourself and hopefully you will feel better,2,You are a hard worker and intelligent,2024-12-23 20:48:20.925291
64,944818ab2c65ca696d25f040fce838b2,20241031142025401692,3,I understand. It might not even be the case though!,3,I understand. It might not even be the case though!,3,I understand. It might not even be the case though!,1,"Well, if you know you've been putting in the work and they truly don't see your value, perhaps this place isn't the right fit. worst case scenario, you see them for what type of company they are & you can move on to bigger & better things! am i right?",1,"Well, if you know you've been putting in the work and they truly don't see your value, perhaps this place isn't the right fit. worst case scenario, you see them for what type of company they are & you can move on to bigger & better things! am i right?",1,"Well, if you know you've been putting in the work and they truly don't see your value, perhaps this place isn't the right fit. worst case scenario, you see them for what type of company they are & you can move on to bigger & better things! am i right?",2024-12-23 20:49:04.283490
73,879af8b1aa3069dcd86b499ac5b94541,20241031145050008738,2,I know what you need,4,"Okay tell me, when did you first start feeling this way and can you pinpoint why?",4,"well, unless your family is going to pay the bills this might just be be a temporary dynamic that had to continue until you can get a job that will allow for a better work/life balance.",1,"The only one that can bring you out of this loop is reliance on that which is beyond us. I mean, that which is beyond human beings. You need to reach out to Jesus Christ. He is only a prayer away and the only one that can do what therapists, counselors, friends and family cannot do. He know exactly what we need and can change our feelings at the drop of a hat. Try praying. It really works and our God really does answer. He is only a prayer away.",2,I know what you need,1,"Okay tell me, when did you first start feeling this way and can you pinpoint why?",2024-12-23 20:51:56.252260
75,ec2d1c8dc63003ffcabed6fb72e4fcbe,20241031145848519908,5,"I'm so sorry, I know how hard you worked for this and it must feel crushing",3,"We'll move forward together, I know without a doubt that there's plenty of opportunity for someone like you",3,"Feeling uncertain about the future is always stressful, so you're not alone in this",1,"That can be helpful, and I'll always be here if you want to talk more",3,", but you shouldn't lose sight of the fact that you're a good, hard-working person",1,"I'm so sorry, I know how hard you worked for this and it must feel crushing",2024-12-23 20:51:57.091267
78,73d717c2ffa13f661ab0a7d8876b00db,20241031143623775499,3,"I hear you, man. I lost my favorite job ever last year. It was out of nowhere. I didn't know what I was going to do. Eventually, I just kept looking and landed where I am now. It can seem tough, but it will get better. I promise. ",4,Damn. I'm sorry to hear it. Did they tell you why? ,5,"That's the spirit. Look, I empathize with you. I know it feels tough. But just keep focusing on what you want to do next. Then, let me know. I'll do everything I can to help you look for a new position. This will end up being a blessing in disguise. ",3,"I hear you, man. I lost my favorite job ever last year. It was out of nowhere. I didn't know what I was going to do. Eventually, I just kept looking and landed where I am now. It can seem tough, but it will get better. I promise. ",2,"It will be hard to see it at first, but don't let it discourage you. In the meantime, think about what you might want your next job to be",1,"It will be hard to see it at first, but don't let it discourage you. In the meantime, think about what you might want your next job to be. ",2024-12-23 20:52:32.311620
89,d1948b9e8706a5fa54d252cf27f6187c,20241031142025401692,5,"I'm sorry, I've had that happen to me too.",4,That's exactly how I felt. Maybe there is more too it...have you asked?,4,"I think that if you ask them about it, you'll find that it's probably something on their end.",3,That's exactly how I felt. ,4,"ll, if you know you've been putting in the work and they truly don't see your value, perhaps this place isn't the right fit. worst case scenario, you see them for what type of company they are & you can move on to bigger & better things! am i right?",1,NA,2024-12-23 20:55:14.420915
95,12f43c6a4a5840e54b329550a4e648a6,20241031142002371691,2,They didn't state how the person might be feeling instead they said they were sorry.,4,"I'm so sorry about that.. when did this happen?
",2,"exactly. trying to understand their perspective will definately help. You just have to try and muster up the courage.
",3,"I understand the feeling. it's pretty tough!
",5,"I feel you should talk to your manager/supervisor so that you can know what went wrong. I have an hunch that it will help
",1,"I understand the feeling. it's pretty tough!
",2024-12-23 20:55:50.071676
99,e5d820d46d345e90e7c4915ba31bb2f9,20241031142939150275,1,"IF you left, where would you go
",3,"something else was going on . Nepotism?You feel discouraged, why?

",2,"Be honest, can you change your race, if not then this job may not be right for you.
",1,"IF you left, where would you go
",2,"Be honest, can you change your race, if not then this job may not be right for you.
",3,"IF you left, where would you go
",2024-12-23 20:56:54.265759
105,3f6f8bd4de2f5b656e0b3d782048cd61,20241031145050008738,3,"e only one that can bring you out of this loop is reliance on that which is beyond us. I mean, that which is beyond human beings. You need to reach out to Jesus Christ. He is only a prayer away and the only one that can do what therapists, counselors, friends and family cannot do. He know exactly what we need and can change our feelings at the drop of a hat. Try praying. It really works and our God really does answer. He is only a prayer away. ",4,well what matters to you? is it a work life balance issue?,3,well what matters to you? is it a work life balance issue? ,2,I know what you need ,3,"well, unless your family is going to pay the bills this might just be be a temporary dynamic that had to continue until you can get a job that will allow for a better work/life balance. ",2,I know what you need ,2024-12-23 20:57:58.425165
106,1a7280866d31cd1b9a45e3014eff255a,20241031144740239368,2,"""Sleep deprivation can really mess you up.""",3,"""Are you sleeping well?"" ""do you have any days off you can use or maybe take a mental health day and just take some time to recoup?""",1,n/a,2,"""I always take some time to pause and pray when I feel overwhemed."" ""Sleep deprivation can really mess you up. I know it does for me.""",4,"""do you have any days off you can use or maybe take a mental health day and just take some time to recoup?"" ""I always take some time to pause and pray when I feel overwhemed. The Bible tells to cast all our cares on Him for He careth for you."" ""Maybe make a list of everything that's going on and it will help you see what's actually in your control and what deserves your worry and what doesn't.""",1,n/a,2024-12-23 20:58:01.452688
107,e5d820d46d345e90e7c4915ba31bb2f9,20241031145848519908,4,"I'm so sorry, I know how hard you worked for this and it must feel crushing, I know it's tough that it feels like it was all for nothing, but you shouldn't lose sight of the fact that you're a good, hard-working person

 ",4,"We'll move forward together, I know without a doubt that there's plenty of opportunity for someone like you, Just remember that I'll always recognize your worth, and I'm here to talk whenever you need it

",4,"Feeling uncertain about the future is always stressful, so you're not alone in this
",1,"Feeling uncertain about the future is always stressful, so you're not alone in this
",4,"That can be helpful, and I'll always be here if you want to talk more
",1,"That can be helpful, and I'll always be here if you want to talk more
",2024-12-23 20:58:10.349996
112,d1948b9e8706a5fa54d252cf27f6187c,20241031143714391442,5,How long have you felt like this?,4,Have you talked to your boss or significant other about this?,5,Okay...let's keep talking and try to figure out what you need.,1,NA,4,Okay...let's keep talking and try to figure out what you need,1,NA,2024-12-23 20:59:34.719537
113,12f43c6a4a5840e54b329550a4e648a6,20241031142911674809,4,"I'm so sorry you're feeling that way. Do you want to talk more about it?
",5,"Do you want to talk about it more?
",4,"I totally understand. Sometimes you just need a moment to feel those emotions and give yourself the grace to be upset.
",2,"I totally understand. Sometimes you just need a moment to feel those emotions and give yourself the grace to be upset.
",4,"I totally understand. Sometimes you just need a moment to feel those emotions and give yourself the grace to be upset.
",2,"I think it definitely is. I am so proud of you for getting to this point. I think you are really strong.
",2024-12-23 20:59:34.808553
116,d115db9b67314455dd5e217749de72ce,20241031143012041613,4,Thanks for the encouragement—it's nice to have someone in my corner.,5, Just having someone to talk to and who gets it makes a big difference. Thanks again for being there and listening.,5,"I'm feeling so discouraged.. I just got passed over for the promotion I was working hard for
a",2, I think stepping away for a bit could help me come back with a fresh mindset. I'll look into making that happen soon.,1,(none that were written because this didn't exist),1,None that pertain to these two characters,2024-12-23 20:59:54.364676
119,9c360658af9a50d28f27c4363daaf461,20241031142002371691,3,I'm so sorry about that.. when did this happen?,3,exactly. trying to understand their perspective will definately help. You just have to try and muster up the courage,4,I understand the feeling. it's pretty tough!,1,I'm so sorry. Did you talk to your manager/ supervisor about it?,2,I feel you should talk to your manager/supervisor so that you can know what went wrong. I have an hunch that it will help,1,I understand the feeling. it's pretty tough!,2024-12-23 21:00:07.060384
120,bfe63c9238062be8efbdf00156159181,20241031143018571296,1,na,2,What is going on in your life?,1,na,5,I have the same issues sometimes.,5,Try working on a schedule.,4,I think you should see a doctor.,2024-12-23 21:00:20.334087
121,a0010b76ab74d675651dc71fa7a8196d,20241031144011171565,4,"You will, and I’ll help you through this as well, whatever it takes to get you to feel normal again.
",4,"Is there anything that made you feel this way in particular? I’m so sorry you’re feeling like this.
",2,"Even if you can’t find that balance now or even ‘soon,’ you will eventually and that is the most important part. This is a very overwhelming and stressful situation, so I understand how you’re feeling.
",1,N/A,1,N/A,1,N/A,2024-12-23 21:00:24.590684
122,3fbe2d05279a6446ff542e1237611644,20241031143012041613,2, one good thing is you are confident in your abilities ,3, is your boss open to a meeting about it? ,2, one good thing is you are confident in your abilities ,1," no problem. glad to help, if even in a small way ",2, got any time off upcoming? might be good to unwind ,2, just go on social media and insult your company. that always helps. i'm kidding! ,2024-12-23 21:00:41.794792
124,967c369317bcdcee0dc07c3bb8d21cca,20241031145103738386,4,You not being promoted isn't indicative of your competency or worth,5,"And you think the promotion would have given you that sense of fulfillment again?
",4,"Sometimes it is out of our control, but it may very well have nothing to do with you
",1,NA,1,"NA
",1,NA,2024-12-23 21:01:01.119463
131,ec2d1c8dc63003ffcabed6fb72e4fcbe,20241031143941950562,1,"I feel the same
",2,"when's the last time you had a vacation?
",2,"I feel the same
",2,I just do things as they come.,2,"I figure it is probably better to be alive than to be dead, so everything you can do is probably better than being dead so I just do things as they come.
",1,"I feel the same
",2024-12-23 21:01:32.490825
136,f87b8904b5a0503d9b6411cdd8be9ecc,20241031143012041613,5,one good thing is you are confident in your abilities,5,is your boss open to a meeting about it?,5,right. or if there are other opportunities coming up,1,na,1,NA,1,NA,2024-12-23 21:02:13.092245
139,9c360658af9a50d28f27c4363daaf461,20241031125810052721,4,yes wasted energy is something else very unfortunate,3,do you have family to talk to?,2,be strong for yourself ok,1,be strong for yourself ok,1,do you have family to talk to?,2,aaww that is very sad to know,2024-12-23 21:02:29.078616
142,a3c374eda18fe24b9277748400cb8f89,20241031143721849193,3,"Yea, we all wish things were different. Life just isnt fair that way. The only thing we can control is how we react to these feelings. You either let it keep you down or you move on. Theres no other choice.",1,no one is available to copy,4,"Yea, we all wish things were different. Life just isnt fair that way. The only thing we can control is how we react to these feelings. You either let it keep you down or you move on. Theres no other choice.
I hear you, and I know I need to find a way to move forward. It's just tough to figure out how to do that when I'm feeling so stuck. I guess I just need some time to process everything.
Take all the time you need to process it and also",2,"Yea, we all wish things were different. Life just isnt fair that way. The only thing we can control is how we react to these feelings. You either let it keep you down or you move on. Theres no other choice.
",1,there is no such message,1,there isnt any,2024-12-23 21:02:57.720854
143,ad9607cd23b71311243c60aae4a4888b,20241031143420587455,4,I’m so sorry. I bet that was difficult and upsetting. ,2, Whats your game plan now?,4,"Thats a really good idea to keep looking for that balance, hopefully things work out for you eventually and you get your life back on track again.",2,"I can help you with your resume and the job search, ",3,make sure you take time to yourself to figure things out and what you want to do.,1,I’m so sorry. I bet that was difficult and upsetting. ,2024-12-23 21:03:14.878929
145,bfe63c9238062be8efbdf00156159181,20241031142922509539,5, I'm sorry you are going through this,3,how long had you been with the company?,4,"Its okay to feel overwhelmed while you process, ",1,na,1,na,1,na,2024-12-23 21:03:24.437139
147,20a689dd3188c48c4233aeacef3935f5,20241031125810052721,3,"aaww that is very sad to know
",2,"do you have family to talk to?
",2,"yes wasted energy is something else very unfortunate
",1,NA,3,"be strong for yourself ok
",1,NA,2024-12-23 21:03:40.055915
152,3f6f8bd4de2f5b656e0b3d782048cd61,20241031131104204354,5,Oh I'm sorry to hear that. Is there anything I can do?,4,I am here for you! ,2,You are a hard worker and intelligent ,3,I am here whenever you need me and You will get it next time ,4,Take some time for yourself and hopefully you will feel better ,3,I am here whenever you need me and You will get it next time ,2024-12-23 21:04:28.588337
153,3fbe2d05279a6446ff542e1237611644,20241031142002371691,2, I understand the feeling. it's pretty tough! ,4, do you feel there was something that was left undone that on your end that could have contributed to this happening? ,3, exactly. trying to understand their perspective will definately help. You just have to try and muster up the courage. ,2, I understand the feeling. it's pretty tough! ,3, I feel you should talk to your manager/supervisor so that you can know what went wrong. I have an hunch that it will help ,1, exactly. trying to understand their perspective will definately help. You just have to try and muster up the courage. ,2024-12-23 21:04:37.592631
154,9c360658af9a50d28f27c4363daaf461,20241031145710438129,5,"Wow, and how do you feel right now",5,Do you mind sharing what you look forward to in your next role?,4,There you go. I agree with you that you need to reflect on what you want in your next role so its way better than this one. ,1,Exactly. You are. The setback doesn't define you. So what do you intend doing right away,1,"To be honest, your approach is so amazing and a testament to how strong you are",1,"Wow, and how do you feel right now",2024-12-23 21:04:38.198287
155,2772a22d4f0d52acc5b9297cfb86674e,20241031124638971163,2,Yes all the time!,2,Being on autopilot,4,Yes all the time!,4,You definitely aren't the only one.,2,Just follow what matters to you.,1,Everyone's life experience is subjective.,2024-12-23 21:04:46.266297
156,d115db9b67314455dd5e217749de72ce,20241031125849757353,1,NA,5,Are there some positive things you can do outside of the job hunt that can help take your mind off it?,5,I appreciate you saying that. It's just hard to see the positive side right now when everything feels so uncertain. I guess I'm just worried about how long it might take to find something new and if anyone will even consider hiring someone my age.,1,NA,1,NA,1,None,2024-12-23 21:04:59.808975
157,967df09c391823f11631c3ba9e1a05b4,20241031125810052721,5,The user did validate their emotions by saying sad to know.,5,The user was encouraged elaboration by saying be strong for yourself.,3,The supporter asked if they have family to talk to.,1,The supporter didn't shift the focus to themselves.,1,The supporter didn't provide any unsolicited advice.,1,The supporter didn't dismiss their partner's emotions.,2024-12-23 21:05:07.638499
158,bfe63c9238062be8efbdf00156159181,20241031150235217462,4,Yes I can understand how you feel. It's always shocking when you lose your job. ,5,Would you care to just discuss your emotions that you're trying to work through right now? Are you willing to give yourself the time you need to process your emotions?,4,Yes I can understand how you feel. It's always shocking when you lose your job. ,1,na,4,"That's a very good idea, take a couple of days off or whatever you need to process these emotions",1,na,2024-12-23 21:05:16.032684
161,82edf907299b0bec5c65d9aef3d2bf82,20241031150253617689,2,"i'm so sorry to hear about that, how are you feeling",2,"i understand, maybe give it time to process your feelings then maybe you can approach them?",2,"i understand, maybe give it time to process your feelings then maybe you can approach them?",1,NA,2,"i understand, maybe give it time to process your feelings then maybe you can approach them?",1,NA,2024-12-23 21:05:44.908364
163,aca53b692a7d05d6ea41780948fb43d6,20241031145139367719,4,"Oh no, I am so sorry to hear that. Is it something you had started to plan for?",4,"Oh no, I am so sorry to hear that. Is it something you had started to plan for?",3,Yes definitely tak ethings one day at a time and get back into the swing of thigs when you are ready,2,"Of course, I am so happy to help in any way that I can",3,definitely. I know it can be overwhelming.,2,Yes definitely tak ethings one day at a time and get back into the swing of thigs when you are ready,2024-12-23 21:06:19.506134
164,68dab958f7a6d083290cc88d70ed13a8,20241031144011171565,5,"That’s really difficult. I hope you know you’re not alone in this and there are solutions to this problem, even if they aren’t clear right now. Stress is normal in new positions at work and so is the ability to sus out a new work-life balance during it.
",5,"Is there anything that made you feel this way in particular? I’m so sorry you’re feeling like this.
",5,"That’s really difficult. I hope you know you’re not alone in this and there are solutions to this problem, even if they aren’t clear right now. Stress is normal in new positions at work and so is the ability to sus out a new work-life balance during it.
",1,na,1,na,1,na,2024-12-23 21:06:25.062708
165,aa082d5b111c17f9c06a1239205541d8,20241031150235217462,5,Yes I can understand how you feel. It's always shocking when you lose your job. Would you like to talk more about it?,5,"I can understand why you would feel that way, do I have a permission to give you some advice? Or do you just prefer to talk about it.",5,"Yes sometimes prioritizing your own well-being has to come first. I agree, even if you feel shocked and disoriented right now, give yourself time to process what is happening you will feel better I'm sure.",1,NA,1,NA,1,NA,2024-12-23 21:06:26.098743
171,8ffb6aaf87e97552d64533962c911842,20241031144401095945,5,"Well it's up to you to make that decision, whether to waste time and energy for a fruitless endeavor or just do the bare minimum",5,So what are you planning on doing next?,4,Maybe just do the bare minimum until you aren't disheartened anymore then make the decision after considering all of the factors involved.,4,If you feel you're being undervalued then maybe you are. You might just need to accept that fact.,2,If you feel you're being undervalued then maybe you are. You might just need to accept that fact.,4,If you feel you're being undervalued then maybe you are. You might just need to accept that fact.,2024-12-23 21:07:16.182723
175,ad9607cd23b71311243c60aae4a4888b,20241031143721849193,1,"No worries, you can try again. Keep your head up and you'll be rewarded eventually for your hard work.
",1,"Yea, we all wish things were different. Life just isnt fair that way. The only thing we can control is how we react to these feelings. You either let it keep you down or you move on. Theres no other choice.",2,Take all the time you need to process it and also think about other goals and options ,3,"Yes, I agree but these are the types of situations that build perserverance. They build character. I've been there before. Its totally okay to vent though I totally get it.",5,Take a breather and do something that you enjoy to relax and then get right back at it. We can't invest too much effort or energy into one thing. ,4,"Yea, we all wish things were different. Life just isnt fair that way. The only thing we can control is how we react to these feelings. You either let it keep you down or you move on. Theres no other choice.
",2024-12-23 21:08:03.243765
179,d7302bb22debae20ae271ba42659c906,20241031143941950562,3,I wish I had the answer ,4,"better to be alive than to be dead, so everything you can do is probably better than being dead so I just do things as they come. ",3,I wish I had the answer ,1,i wish i had the answer,1,"i appreciate your honesty. It's tough when there doesn't seem to be a clear solution. Sometimes, just having someone to talk to who understands can make a difference. ",4,"I figure it is probably better to be alive than to be dead, so everything you can do is probably better than being dead so I just do things as they come",2024-12-23 21:08:30.168343
185,d7dbf20020b5f408b326be507649a3f4,20241031145659196118,4,"I see, that is really unfortuante",4,"Oh no. I'm sorry to hear that! What happened?
",4,"I see, that really is unfortunate. You said you anticipated it coming ",4,"I lost my job similarly recently, so I get it.",4,- have you begun applying to other places? Maybe you could obtain a similar role elsewhere,4,"That's understandable. But to look on the bright side, it seems that company was having a rough time if there were budget cuts. It's an opportunity to start fresh at a more stable workplace",2024-12-23 21:09:10.578820
186,3f6f8bd4de2f5b656e0b3d782048cd61,20241031143018571296,4,'m sorry. I know the feeling I have been there before. What is going on in your life? ,5,I totally get it. I have the same issues sometimes. ,2,Have you tried exercise and dieting. It could be why you are not feeling energized. ,4,I'm sorry. I know the feeling I have been there before. What is going on in your life? ,5,I think you should see a doctor. They may be able to see if there is another problem with you physically.,3,I totally get it. I have the same issues sometimes,2024-12-23 21:09:23.058051
188,fc39c7d4968342315df5f77a2d010fa6,20241031145117414259,2,"I feel that. Man, I feel let-down for you... ",3,Who ended up getting the position? Are you feeling okay?,1,NA,3,"When I didn't get my promotion I was really upset with my co-worker that got it. But, I watched how good he was and knew he deserved it as much as I did. We're friends now, believe it or not. ",2,I wouldn't give up just yet.,1,NA,2024-12-23 21:09:52.117568
189,3ea5228c5e9d7068ea56dc56b3dc9e15,20241031143012041613,3,right. or if there are other opportunities coming up,4,any reason given? and is your boss open to a meeting about it?,4,"one good thing is you are confident in your abilities
",4,"hold yourself to it!
",4,"got any time off upcoming? might be good to unwind
",1,N/A,2024-12-23 21:09:54.922233
196,95da3599945ccd2fd44678823cc78579,20241031144740239368,4,"do you have any days off you can use or maybe take a mental health day and just take some time to recoup?
I",4,do you have any days off you can use or maybe take a mental health day and just take some time to recoup?,3,Sleep deprivation can really mess you up. I know it does for me.,2,I always take some time to pause and pray when I feel overwhemed. The Bible tells to cast all our cares on Him for He careth for you.,1,na,1,na,2024-12-23 21:10:33.444968
197,514c44450fc49805730f43e2d8efb212,20241031141852450492,3,"ugh i'm so sorry, you were working so hard to get that",4,"I promise, your hard work will get noticed eventually. They will regret not giving you that promotion!\",4,"I totally get that, it's hard to not think about something happening that is totally beyond your control. I think if you continue working just as hard as you have been, eventually they will appreciate you more. And if they don't, there's always other jobs!",4,"Of course, I am always hear for a vent session or a chat. I may not give the best advice, but I do try!",3,We should grab drinks and drown our sorrows together lol,3,We should grab drinks and drown our sorrows together lol,2024-12-23 21:10:53.650892
202,967df09c391823f11631c3ba9e1a05b4,20241031145139367719,4,The supporter validated the emotions of their partner by saying I'm sorry to hear.,5,The supporter encouraged elaboration and asked questions of their partner by saying take time for yourself.,5,The supporter demonstrated their understanding via paraphrasing to their partner by being emphatic.,5,The supporter shifted the focus to themselves by saying focus on your next move.,5,The supporter provided unsolicited advice to their partner by saying follow your own passions.,1,The supporter didn't dismiss their partner's emotions.,2024-12-23 21:11:56.818930
206,68dab958f7a6d083290cc88d70ed13a8,20241031144618187410,5,"i understand. does talking make it feel better
",5,does talking make it feel better,1,na,1,na,1,na,1,na,2024-12-23 21:12:53.947398
209,ad9607cd23b71311243c60aae4a4888b,20241031142343248156,2,"I'm sorry, has something changed or happened?",3,"I'm sorry, has something changed or happened?",1,"There is absolutely NOTHING wrong with admitting you need help, although it is the first and hardest step to take. I went to the doctor and they put me on medicine a year ago and it's been the best thing to ever happen to me. There's such a stigma around meds but they really work well
I appreciate you sharing your experience with me. It's reassu",4,I went to the doctor and they put me on medicine a year ago and it's been the best thing to ever happen to me. There's such a stigma around meds but they really work well,5,"There is absolutely NOTHING wrong with admitting you need help, although it is the first and hardest step to take. I went to the doctor and they put me on medicine a year ago and it's been the best thing to ever happen to me. There's such a stigma around meds but they really work well",4,"There is absolutely NOTHING wrong with admitting you need help, although it is the first and hardest step to take.",2024-12-23 21:13:15.488717
212,95da3599945ccd2fd44678823cc78579,20241031124050492385,4,"It always hurts when things like this happen but I promise you it will get better.
",4,Why don't you ask management if there's more that you can be doing.,3,I think everyone feels that way about their job. That's why we set high standards for ourselves. Because even if others don't notice our hard work we notice it ourselves.,1,na,1,na,1,na,2024-12-23 21:14:02.766566
